trade_date,due_date,open_price,min_price,close_price,final_price,-,buy_due_date,buy_price,-,sell_due_date,sell_price,-,all_deals_due_date,all_deals_buy_price,deals_total_value,net_gain,-,total_net_gain,cash,total,-,deal_min_price,period_min_price,diff_deal_period_min_price
1999-08-18,1999-09-01,8250,8058,8060,8060,"","","","","","","","","","","","","","","","","","",""
1999-05-19,200,"","","","","","","","",1999-06-01,7624,"","","","",1618,"",421,12766,20421,"",7576,"",""
1999-08-18,2000-03-01,8150,8051,8051,8051,"","","","","","","","","","","","","","","","","","",""
1999-08-18,1999-08-01,8196,7980,8000,8000,"","","","","","","","","","","","","","","","","","",""
1999-08-18,1999-12-01,8240,8080,8080,8080,"","","","","","","","","","","","","","","","","","",""
1999-08-18,100,"","","","","",1999-12-01,8240,"","","","","","","","","","",4526,20421,"","","",""
1999-08-18,101,"","","","","","","","","","","",1999-09-01,7655,"","","","","","","","","",""
1999-11-17,2000-03-01,7730,7711,7750,7750,"","","","","","","","","","","","","","","","","","",""
1999-08-18,102,"","","","","","","","","","","",1999-12-01,8240,"","","","","","","","","",""
1999-08-18,199,"","","","","","","","","","","","","",15895,"","","",4526,20421,"","","",""
1999-11-17,200,"","","","","","","","",1999-12-01,7700,"","","","",-540,"",286,12556,20286,"",7665,"",""
1999-08-18,200,"","","","","","","","",1999-09-01,8060,"","","","",405,"",826,12586,20826,"",8058,"",""
1999-11-17,2000-06-01,7791,7715,7748,7748,"","","","","","","","","","","","","","","","","","",""
1999-11-17,1999-11-01,7659,7635,7669,7669,"","","","","","","","","","","","","","","","","","",""
1999-11-17,1999-12-01,7700,7665,7700,7700,"","","","","","","","","","","","","","","","","","",""
1999-11-17,101,"","","","","","","","","","","",1999-12-01,8240,"","","","","","","","","",""
1999-11-17,2000-09-01,7804,7804,7804,7804,"","","","","","","","","","","","","","","","","","",""
1999-11-17,199,"","","","","","","","","","","","","",15970,"","","",4856,20826,"","","",""
1999-11-17,100,"","","","","",2000-03-01,7730,"","","","","","","","","","",4856,20826,"","","",""
1999-11-17,102,"","","","","","","","","","","",2000-03-01,7730,"","","","","","","","","",""
2000-02-16,2000-02-01,9999,9999,10090,10090,"","","","","","","","","","","","","","","","","","",""
2000-02-16,2000-03-01,10090,10070,10140,10140,"","","","","","","","","","","","","","","","","","",""
2000-02-16,102,"","","","","","","","","","","",2000-06-01,10234,"","","","","","","","","",""
2000-02-16,2000-06-01,10234,10234,10240,10262,"","","","","","","","","","","","","","","","","","",""
2000-02-16,2000-09-01,10154,10154,10154,10154,"","","","","","","","","","","","","","","","","","",""
2000-05-17,2001-03-01,9101,9101,9400,9400,"","","","","","","","","","","","","","","","","","",""
2000-02-16,2000-12-01,10451,10451,10451,10451,"","","","","","","","","","","","","","","","","","",""
2000-02-16,199,"","","","","","","","","","","","","",17964,"","","",2322,20286,"","","",""
2000-02-16,100,"","","","","",2000-06-01,10234,"","","","","","","","","","",2322,20286,"","","",""
2000-02-16,101,"","","","","","","","","","","",2000-03-01,7730,"","","","","","","","","",""
2000-05-17,2000-06-01,8899,8890,9100,9100,"","","","","","","","","","","","","","","","","","",""
2000-02-16,200,"","","","","","","","",2000-03-01,10140,"","","","",2410,"",2696,12462,22696,"",10070,"",""
2000-05-17,2000-12-01,9404,9404,9404,9404,"","","","","","","","","","","","","","","","","","",""
2000-05-17,2000-05-01,8850,8850,9090,9090,"","","","","","","","","","","","","","","","","","",""
2000-05-17,2000-09-01,9200,9200,9260,9296,"","","","","","","","","","","","","","","","","","",""
2000-05-17,100,"","","","","",2000-09-01,9200,"","","","","","","","","","",3262,22696,"","","",""
2000-05-17,101,"","","","","","","","","","","",2000-06-01,10234,"","","","","","","","","",""
2000-08-16,2000-12-01,8040,8040,8103,8175,"","","","","","","","","","","","","","","","","","",""
2000-05-17,102,"","","","","","","","","","","",2000-09-01,9200,"","","","","","","","","",""
2000-05-17,199,"","","","","","","","","","","","","",19434,"","","",3262,22696,"","","",""
2000-08-16,200,"","","","","","","","",2000-09-01,8086,"","","","",-1114,"",448,12408,20448,"",7900,"",""
2000-05-17,200,"","","","","","","","",2000-06-01,9100,"","","","",-1134,"",1562,12362,21562,"",8890,"",""
2000-08-16,2001-03-01,8250,8250,8250,8185,"","","","","","","","","","","","","","","","","","",""
2000-08-16,2000-08-01,7896,7896,8020,8020,"","","","","","","","","","","","","","","","","","",""
2000-08-16,2000-09-01,7900,7900,8086,8086,"","","","","","","","","","","","","","","","","","",""
2000-08-16,101,"","","","","","","","","","","",2000-09-01,9200,"","","","","","","","","",""
2000-08-16,2001-06-01,8299,8299,8299,8299,"","","","","","","","","","","","","","","","","","",""
2000-08-16,199,"","","","","","","","","","","","","",17240,"","","",4322,21562,"","","",""
2000-08-16,100,"","","","","",2000-12-01,8040,"","","","","","","","","","",4322,21562,"","","",""
2000-08-16,102,"","","","","","","","","","","",2000-12-01,8040,"","","","","","","","","",""
2000-11-15,2000-11-01,6043,5772,5830,5830,"","","","","","","","","","","","","","","","","","",""
2000-11-15,2000-12-01,6045,5731,5731,5731,"","","","","","","","","","","","","","","","","","",""
2000-11-15,102,"","","","","","","","","","","",2001-03-01,6003,"","","","","","","","","",""
2000-11-15,2001-03-01,6003,5790,5790,5790,"","","","","","","","","","","","","","","","","","",""
2000-11-15,2001-06-01,6018,6018,6018,6018,"","","","","","","","","","","","","","","","","","",""
2001-02-21,2001-12-01,6118,6118,6118,6118,"","","","","","","","","","","","","","","","","","",""
2000-11-15,2001-09-01,6149,6149,6149,6149,"","","","","","","","","","","","","","","","","","",""
2000-11-15,199,"","","","","","","","","","","","","",14043,"","","",6405,20448,"","","",""
2000-11-15,100,"","","","","",2001-03-01,6003,"","","","","","","","","","",6405,20448,"","","",""
2000-11-15,101,"","","","","","","","","","","",2000-12-01,8040,"","","","","","","","","",""
2001-02-21,2001-03-01,5855,5825,5940,5940,"","","","","","","","","","","","","","","","","","",""
2000-11-15,200,"","","","","","","","",2000-12-01,5731,"","","","",-2309,"",-1861,12136,18139,"",5731,"",""
2001-02-21,2001-09-01,5907,5907,5907,5907,"","","","","","","","","","","","","","","","","","",""
2001-02-21,2001-02-01,5885,5851,5981,5981,"","","","","","","","","","","","","","","","","","",""
2001-02-21,2001-06-01,5957,5957,5957,5957,"","","","","","","","","","","","","","","","","","",""
2001-02-21,100,"","","","","",2001-06-01,5957,"","","","","","","","","","",6179,18139,"","","",""
2001-02-21,101,"","","","","","","","","","","",2001-03-01,6003,"","","","","","","","","",""
2001-05-16,2001-09-01,5151,5115,5115,5115,"","","","","","","","","","","","","","","","","","",""
2001-02-21,102,"","","","","","","","","","","",2001-06-01,5957,"","","","","","","","","",""
2001-02-21,199,"","","","","","","","","","","","","",11960,"","","",6179,18139,"","","",""
2001-05-16,200,"","","","","","","","",2001-06-01,5070,"","","","",-887,"",-2811,12038,17189,"",5070,"",""
2001-02-21,200,"","","","","","","","",2001-03-01,5940,"","","","",-63,"",-1924,12119,18076,"",5825,"",""
2001-05-16,2001-12-01,5236,5236,5236,5236,"","","","","","","","","","","","","","","","","","",""
2001-05-16,2001-05-01,5155,5080,5080,5080,"","","","","","","","","","","","","","","","","","",""
2001-05-16,2001-06-01,5170,5070,5070,5070,"","","","","","","","","","","","","","","","","","",""
2001-05-16,101,"","","","","","","","","","","",2001-06-01,5957,"","","","","","","","","",""
2001-05-16,2002-03-01,5095,5095,5095,5095,"","","","","","","","","","","","","","","","","","",""
2001-05-16,199,"","","","","","","","","","","","","",11108,"","","",6968,18076,"","","",""
2001-05-16,100,"","","","","",2001-09-01,5151,"","","","","","","","","","",6968,18076,"","","",""
2001-05-16,102,"","","","","","","","","","","",2001-09-01,5151,"","","","","","","","","",""
2001-08-15,2001-08-01,4639,4582,4620,4620,"","","","","","","","","","","","","","","","","","",""
2001-08-15,2001-09-01,4610,4578,4600,4600,"","","","","","","","","","","","","","","","","","",""
2001-08-15,102,"","","","","","","","","","","",2001-12-01,4620,"","","","","","","","","",""
2001-08-15,2001-12-01,4620,4620,4620,4583,"","","","","","","","","","","","","","","","","","",""
2001-08-15,2002-03-01,4585,4585,4585,4585,"","","","","","","","","","","","","","","","","","",""
2001-11-21,2002-09-01,4650,4650,4650,4650,"","","","","","","","","","","","","","","","","","",""
2001-08-15,2002-06-01,4551,4551,4551,4551,"","","","","","","","","","","","","","","","","","",""
2001-08-15,199,"","","","","","","","","","","","","",9771,"","","",7418,17189,"","","",""
2001-08-15,100,"","","","","",2001-12-01,4620,"","","","","","","","","","",7418,17189,"","","",""
2001-08-15,101,"","","","","","","","","","","",2001-09-01,5151,"","","","","","","","","",""
2001-11-21,2001-12-01,4409,4389,4520,4520,"","","","","","","","","","","","","","","","","","",""
2001-08-15,200,"","","","","","","","",2001-09-01,4600,"","","","",-551,"",-3362,12018,16638,"",4578,"",""
2001-11-21,2002-06-01,4351,4351,4580,4580,"","","","","","","","","","","","","","","","","","",""
2001-11-21,2001-11-01,4444,4405,4560,4560,"","","","","","","","","","","","","","","","","","",""
2001-11-21,2002-03-01,4450,4450,4450,4450,"","","","","","","","","","","","","","","","","","",""
2001-11-21,100,"","","","","",2002-03-01,4450,"","","","","","","","","","",7568,16638,"","","",""
2001-11-21,101,"","","","","","","","","","","",2001-12-01,4620,"","","","","","","","","",""
2002-02-20,2002-06-01,5751,5606,5606,5606,"","","","","","","","","","","","","","","","","","",""
2001-11-21,102,"","","","","","","","","","","",2002-03-01,4450,"","","","","","","","","",""
2001-11-21,199,"","","","","","","","","","","","","",9070,"","","",7568,16638,"","","",""
2002-02-20,200,"","","","","","","","",2002-03-01,5666,"","","","",1216,"",-2246,12003,17754,"",5636,"",""
2001-11-21,200,"","","","","","","","",2001-12-01,4520,"","","","",-100,"",-3462,12088,16538,"",4389,"",""
2002-02-20,2002-09-01,5751,5721,5721,5691,"","","","","","","","","","","","","","","","","","",""
2002-02-20,2002-02-01,5798,5679,5685,5685,"","","","","","","","","","","","","","","","","","",""
2002-02-20,2002-03-01,5790,5636,5666,5666,"","","","","","","","","","","","","","","","","","",""
